ticker,empresa,setor_brapi
PULV11,Fundo de Investimento Imobiliario RBR Credito Pulverizado Responsabilidade Limitada,
HSAF11,HSI Ativos Financeiros Fundos Investimentos Imobiliarios,
TOPP11,RBR Top Offices Fundo de Investimento Imobiliario Responsabilidade Limitada,
BCRI11,Banestes Recebiveis Imobiliarios Fundo de Investimento Imobiliario- FII Cotas,
SPXB11,BTG Pactual S&P 500 Fundo de Indice,Miscellaneous
GTWR11,Fundo Investimento Imobiliario Green Towers,
ZAVC11,Zavit Credito Imobiliario - Fundo De Investimento Imobiliario,Miscellaneous
BPML11,Fundo de Investimento Imobiliario BTG Pactual Shoppings,
USTK11,Investo ETF MSCI US Technology Fundo de Investimento de Indice Investimento no Exterior,Miscellaneous
ITRI11,Itau Total Return Fundo De Investimento Imobiliario,
NFTS11,Investo Vaneck ETF Crypto Compare Media & Entertainment Leaders Fundo de Indice Investimento no Exterior,Miscellaneous
NBOV11,NU Ibovespa B3 BR+ Classe de Indice Responsabilidade Limitada,Miscellaneous
BTAL11,Fundo de Investimento Imobiliario BTG Pactual Agro Logistica,
RELG11,Fundo de Investimento Imobiliario REC Logistica,
VIGT11,Vinci Energia Fundo de Investimento em Participacao em Infraestrutura,
SADI11,Santander Papeis Imobiliarios CDI Fundo de Investimento Imobiliario,Miscellaneous
CARE11,Brazilian Graveyard and Death Care Services Fundo de Investimento Imobiliario- FII Cotas,
AFHI11,AF Invest CRI Fundo de Investimento Imobiliario Recebiveis Imobiliarios,
NSDV11,NU Ibov Smart Dividendos Fundo de Indice,Miscellaneous
VCRI11,Vinci Credit Securities Fundo de Investimento Imobiliario,
B5MB11,ETF Bradesco Ima-B5+ Fundo de Indice,Miscellaneous
DIVD11,IT NOW IDIV Renda Dividendos Fundo de Indice - Responsabilidade Limitada,Miscellaneous
JCCJ11,JCCJ FOF JHSF Capital Fundo de Investimento Imobiliario,
SNFZ11,Suno Fazendas Fiagro - Imobiliario,Miscellaneous
SNME11,Suno Multiestrategia Fundo de Investimento Imobiliario,
ARXD11,ARX Dover Recebiveis Fundo de Investimento Imobiliario,Miscellaneous
NUCL11,Investo MVIS Global Uranium & Nuclear Energy ETF Fundo de Indice,Miscellaneous
HODL11,Investo ETF Marketvector Bitcoin Benchmark Rate Fundo de Indice Responsabilidade Limitada,
OIAG11,OIAG Ourinvest Innovation Fiagro Imobiliario,Miscellaneous
MARG11,BTG Pactual Margem Debentures Ultra Qualidade Di B3 Fundo De Indice,
BINC11,Brad FIC Firf Invest Infra CDI CP Resp Ltda,
IDKA11,It Now IRFM P3 Fundo de Indice Responsabilidade Limitada,Miscellaneous
OGIN11,Nikos Fundo De Investimento Em Cotas De Fundos Incentivados De Investimento Em Infraestrutura Renda Fixa,
KNDI11,Kinea Estrategia Infra CDI Fundo de Investimento em Participacoes em Infraestrutura Responsabilidade Limitada,
BROF11,BRPR Corporate Offices Fundo de Investimento Imobiliario,Miscellaneous
NEXG11,Nex Credito Agro Fundo de Investimento nas Cadeias Produtivas do Agronegocio Fiagro Imobiliario,
BIME11,Brio Multiestrategia Fundo de Investimento Imobiliario,
EGAF11,Ecoagro I Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,Miscellaneous
VCRA11,Vectis Datagro Credito Agronegocio - Fundo de Investimento nas Cadeias Produtivas Agroindustriais - Imobiliario,Miscellaneous
RPRI11,RBR Premium Recebiveis Imobioliarios Fundo de Investimento Imobiliario,
RZAT11,Riza Arctium Real Estate Fundo de Investimento Imobiliario,
BDIV11,BTG Pactual Infraestrutura Dividendos Fundo de Investimento em Participacoes em Infraestrutura,
KIVO11,Kilima Volkano Recebiveis Imobiliarios Fundo de Investimento Imobiliario,Miscellaneous
AURB11,Alianza Urban Hub Renda Fundo de Investimento Imobiliario,
DCRA11,Devant Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,Miscellaneous
RBRL11,RBR LOG - Fundo De Investimiento Imobiliario,Miscellaneous
FSRF11,Fiset Fl Ref Pfd,Miscellaneous
XPCM11,XP Corporate Macae Fundo de Investimento Imobiliario FII Cotas,Miscellaneous
CRAA11,Sparta Fiagro Fundo de Investimento nas Cadeias Produtivas Agroindustriais Imobiliario,Miscellaneous
BCIA11,Bradesco Carteira Imobiliatia Ative- Fundo de Fundos de Investimento Imobiliario- FII Cotas,
PNDL11,Panorama Desenvolvimento Logistico Fundo de Investimento Imobiliario,
HSLG11,HSI Logistica Fundo de Investimento Imobiliario,
IBOB11,BTG Pactual B3 Ibovespa Fundo de Indice,Miscellaneous
AURO11,Buena Vista Neos Gold High Income Index Fundo de Indice de Responsabilidade Limitada,
SAPI11,Santander Papeis Imobiliarios Fundo de Investimento Imobiliario,
WEB311,Hashdex Smart Contract Platforms FI,Miscellaneous
IWMI11,Buena Vista Neos Russell 2000 High Income Index Fundo De Indice - Responsabilidade Limitada,
ALUG11,Investo MSCI US Real Estate ETF,Miscellaneous
BRAX11,iShares IBrX-Indice Brasil (IBrX-100) Fundo de Indice,Miscellaneous
GRWA11,Greenwich Agro Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,
