ticker,close,volume,logo,sector,type
HBRE3,3.78,403100,https://icons.brapi.dev/icons/HBRE3.svg,Finance,stock
VITT3,4.85,357300,https://icons.brapi.dev/icons/VITT3.svg,Process Industries,stock
FIQE3,4.07,356700,https://icons.brapi.dev/icons/FIQE3.svg,Communications,stock
USIM3,4.3,343100,https://icons.brapi.dev/icons/USIM3.svg,Non-Energy Minerals,stock
BMOB3,21.06,343000,https://icons.brapi.dev/icons/BMOB3.svg,Technology Services,stock
ALLD3,8.11,340500,https://icons.brapi.dev/icons/ALLD3.svg,Technology Services,stock
UNIP6,58.24,322900,https://icons.brapi.dev/icons/UNIP6.svg,Process Industries,stock
ABCB4,21.92,317900,https://icons.brapi.dev/icons/ABCB4.svg,Finance,stock
AMBP3,14.07,311400,https://icons.brapi.dev/icons/AMBP3.svg,Commercial Services,stock
TRIS3,6.54,311000,https://icons.brapi.dev/icons/TRIS3.svg,Consumer Durables,stock
LEVE3,27.44,309800,https://icons.brapi.dev/icons/LEVE3.svg,Producer Manufacturing,stock
PMAM3,1.4,293600,https://icons.brapi.dev/icons/PMAM3.svg,Non-Energy Minerals,stock
AMAR3,1.2,292000,https://icons.brapi.dev/icons/AMAR3.svg,Retail Trade,stock
PFRM3,7.79,278600,https://icons.brapi.dev/icons/PFRM3.svg,Distribution Services,stock
PRNR3,15.26,277700,https://icons.brapi.dev/icons/PRNR3.svg,Industrial Services,stock
PINE4,6.3,256200,https://icons.brapi.dev/icons/PINE4.svg,Finance,stock
TASA4,4.72,255100,https://icons.brapi.dev/icons/TASA4.svg,Electronic Technology,stock
ENGI4,8.11,249500,https://icons.brapi.dev/icons/ENGI4.svg,Utilities,stock
LOGG3,20.74,247300,https://icons.brapi.dev/icons/LOGG3.svg,Industrial Services,stock
TAEE3,11.37,241500,https://icons.brapi.dev/icons/TAEE3.svg,Industrial Services,stock
ITSA3,11.11,239700,https://icons.brapi.dev/icons/ITSA3.svg,Finance,stock
BRST3,2.8,235800,https://icons.brapi.dev/icons/BRST3.svg,Communications,stock
MEAL3,1.29,229200,https://icons.brapi.dev/icons/MEAL3.svg,Consumer Non-Durables,stock
POMO3,7.16,228400,https://icons.brapi.dev/icons/POMO3.svg,Producer Manufacturing,stock
SOJA3,10.29,225800,https://icons.brapi.dev/icons/SOJA3.svg,Process Industries,stock
PTNT4,4.6,224300,https://icons.brapi.dev/icons/PTNT4.svg,Process Industries,stock
SAPR3,7.78,224300,https://icons.brapi.dev/icons/SAPR3.svg,Utilities,stock
PTBL3,3.88,220200,https://icons.brapi.dev/icons/PTBL3.svg,Producer Manufacturing,stock
BRBI11,15.36,198000,https://icons.brapi.dev/icons/BRBI11.svg,Finance,fund
TGMA3,36.6,196500,https://icons.brapi.dev/icons/TGMA3.svg,Transportation,stock
BLAU3,12.28,195500,https://icons.brapi.dev/icons/BLAU3.svg,Health Technology,stock
PORT3,17.88,159600,https://icons.brapi.dev/icons/PORT3.svg,Transportation,stock
GFSA3,13.82,151900,https://icons.brapi.dev/icons/GFSA3.svg,Finance,stock
TAEE4,11.45,151500,https://icons.brapi.dev/icons/TAEE4.svg,Industrial Services,stock
EMAE3,150.0,150700,https://icons.brapi.dev/icons/BRAPI.svg,Utilities,stock
TOKY3,1.09,140100,https://icons.brapi.dev/icons/BRAPI.svg,Technology Services,stock
DESK3,8.16,130200,https://icons.brapi.dev/icons/DESK3.svg,Communications,stock
AERI3,4.16,126500,https://icons.brapi.dev/icons/AERI3.svg,Producer Manufacturing,stock
DEXP3,8.58,117500,https://icons.brapi.dev/icons/DEXP3.svg,Process Industries,stock
CMIG3,14.98,112100,https://icons.brapi.dev/icons/CMIG3.svg,Utilities,stock
LPSB3,1.49,106900,https://icons.brapi.dev/icons/LPSB3.svg,Commercial Services,stock
SEQL3,0.96,105100,https://icons.brapi.dev/icons/SEQL3.svg,Transportation,stock
ETER3,4.24,101800,https://icons.brapi.dev/icons/ETER3.svg,Non-Energy Minerals,stock
