ticker,ano,fechamento
PSSA3,2023,27.17
PSSA3,2022,20.85
PSSA3,2021,17.89
PSSA3,2020,19.71
PSSA3,2019,24.11
PSSA3,2018,19.27
AZEV4,2025,0.52
AZEV4,2024,0.94
AZEV4,2023,1.96
AZEV4,2022,1.35
AZEV4,2021,4.29
AZEV4,2020,2.23
AZEV4,2019,2.28
AZEV4,2018,2.48
RECV3,2025,12.43
RECV3,2024,15.24
RECV3,2023,17.62
RECV3,2022,25.56
RECV3,2021,13.75
RECV3,2020,
RECV3,2019,
RECV3,2018,
TUPY3,2025,13.84
TUPY3,2024,22.51
TUPY3,2023,26.94
TUPY3,2022,24.04
TUPY3,2021,17.4
TUPY3,2020,17.91
TUPY3,2019,21.61
TUPY3,2018,16.23
ISAE4,2025,22.0
ISAE4,2024,21.12
ISAE4,2023,24.32
ISAE4,2022,19.34
ISAE4,2021,19.52
ISAE4,2020,19.35
ISAE4,2019,14.66
ISAE4,2018,10.53
JHSF3,2025,5.33
JHSF3,2024,3.51
JHSF3,2023,4.9
JHSF3,2022,4.01
JHSF3,2021,4.29
JHSF3,2020,5.64
JHSF3,2019,5.06
JHSF3,2018,1.29
SBSP3,2025,116.59
SBSP3,2024,85.63
SBSP3,2023,71.65
SBSP3,2022,52.84
SBSP3,2021,36.38
SBSP3,2020,39.87
SBSP3,2019,52.55
SBSP3,2018,26.67
BRKM5,2025,8.22
BRKM5,2024,11.58
BRKM5,2023,21.86
BRKM5,2022,23.76
BRKM5,2021,57.63
BRKM5,2020,20.86
BRKM5,2019,26.42
BRKM5,2018,40.78
SMFT3,2025,22.79
SMFT3,2024,16.86
SMFT3,2023,25.16
SMFT3,2022,12.87
SMFT3,2021,15.16
SMFT3,2020,
SMFT3,2019,
SMFT3,2018,
SLCE3,2025,16.9
SLCE3,2024,17.01
SLCE3,2023,17.5
SLCE3,2022,18.59
SLCE3,2021,15.36
SLCE3,2020,9.17
SLCE3,2019,8.09
SLCE3,2018,6.51
EVEN3,2025,7.12
EVEN3,2024,5.36
EVEN3,2023,7.55
EVEN3,2022,3.93
EVEN3,2021,5.5
EVEN3,2020,9.22
EVEN3,2019,11.69
EVEN3,2018,4.51
LJQQ3,2025,2.18
LJQQ3,2024,2.16
LJQQ3,2023,5.7
LJQQ3,2022,3.81
LJQQ3,2021,10.15
LJQQ3,2020,14.62
LJQQ3,2019,
LJQQ3,2018,
SUZB3,2025,52.3
SUZB3,2024,61.78
SUZB3,2023,53.87
SUZB3,2022,45.65
SUZB3,2021,54.25
SUZB3,2020,52.83
SUZB3,2019,35.81
SUZB3,2018,33.99
VIVA3,2025,27.43
VIVA3,2024,18.62
VIVA3,2023,32.59
VIVA3,2022,20.96
VIVA3,2021,23.73
VIVA3,2020,27.11
VIVA3,2019,26.7
VIVA3,2018,
TAEE11,2025,33.21
TAEE11,2024,30.77
TAEE11,2023,32.56
TAEE11,2022,27.05
TAEE11,2021,26.52
TAEE11,2020,21.78
TAEE11,2019,18.32
TAEE11,2018,13.0
CSMG3,2025,27.17
CSMG3,2024,20.04
CSMG3,2023,17.73
CSMG3,2022,11.58
CSMG3,2021,9.11
CSMG3,2020,11.02
CSMG3,2019,14.55
CSMG3,2018,12.81
AZZA3,2025,31.29
AZZA3,2024,29.58
AZZA3,2023,62.8
AZZA3,2022,73.95
AZZA3,2021,70.81
AZZA3,2020,62.17
AZZA3,2019,57.86
AZZA3,2018,48.66
SMTO3,2025,16.48
SMTO3,2024,22.69
SMTO3,2023,27.28
SMTO3,2022,23.8
SMTO3,2021,29.78
SMTO3,2020,22.19
SMTO3,2019,18.81
SMTO3,2018,13.98
ENGI11,2025,46.2
ENGI11,2024,34.11
ENGI11,2023,48.34
ENGI11,2022,38.25
ENGI11,2021,35.39
ENGI11,2020,39.73
ENGI11,2019,41.32
ENGI11,2018,27.53
OIBR3,2025,0.58
OIBR3,2024,1.34
OIBR3,2023,6.4
OIBR3,2022,17.0
OIBR3,2021,76.0
OIBR3,2020,220.0
OIBR3,2019,86.0
OIBR3,2018,125.0
GGPS3,2025,16.54
GGPS3,2024,13.73
GGPS3,2023,18.31
GGPS3,2022,11.32
GGPS3,2021,15.09
GGPS3,2020,
GGPS3,2019,
GGPS3,2018,
HBSA3,2025,3.54
HBSA3,2024,2.75
HBSA3,2023,3.94
HBSA3,2022,2.26
HBSA3,2021,3.45
HBSA3,2020,6.9
HBSA3,2019,
HBSA3,2018,
GMAT3,2025,6.78
GMAT3,2024,6.28
GMAT3,2023,6.88
GMAT3,2022,6.06
GMAT3,2021,5.78
GMAT3,2020,8.01
GMAT3,2019,
GMAT3,2018,
CPLE3,2025,11.07
CPLE3,2024,8.24
CPLE3,2023,9.08
CPLE3,2022,6.34
CPLE3,2021,4.94
CPLE3,2020,5.1
CPLE3,2019,4.84
CPLE3,2018,2.0
MLAS3,2025,0.93
MLAS3,2024,1.06
MLAS3,2023,2.09
MLAS3,2022,4.03
MLAS3,2021,8.15
MLAS3,2020,
MLAS3,2019,
MLAS3,2018,
INTB3,2025,11.99
INTB3,2024,12.32
INTB3,2023,20.72
INTB3,2022,28.05
INTB3,2021,25.28
INTB3,2020,
INTB3,2019,
INTB3,2018,
AZEV3,2025,0.47
AZEV3,2024,0.94
AZEV3,2023,2.04
AZEV3,2022,1.45
AZEV3,2021,4.87
AZEV3,2020,4.25
AZEV3,2019,2.2
AZEV3,2018,14.76
CASH3,2025,4.9
CASH3,2024,2.75
CASH3,2023,7.95
CASH3,2022,11.8
CASH3,2021,32.4
CASH3,2020,24.99
CASH3,2019,
CASH3,2018,
SANB11,2025,26.5
SANB11,2024,22.66
SANB11,2023,29.04
SANB11,2022,23.88
SANB11,2021,23.79
SANB11,2020,31.72
SANB11,2019,32.27
SANB11,2018,26.81
VVEO3,2025,0.87
VVEO3,2024,2.05
VVEO3,2023,13.57
VVEO3,2022,15.64
VVEO3,2021,17.79
VVEO3,2020,
VVEO3,2019,
VVEO3,2018,
SBFG3,2025,10.11
SBFG3,2024,10.19
SBFG3,2023,10.99
SBFG3,2022,11.76
SBFG3,2021,20.61
SBFG3,2020,27.21
SBFG3,2019,32.21
SBFG3,2018,
MDNE3,2025,23.58
MDNE3,2024,10.46
MDNE3,2023,12.37
MDNE3,2022,5.39
MDNE3,2021,5.42
MDNE3,2020,10.77
MDNE3,2019,
MDNE3,2018,
ELET6,2025,45.8
ELET6,2024,36.23
