ticker,empresa,subsetor_b3,tipo,market_cap,logo,preco_atual,p_l,p_vp,payout_ratio,crescimento_preco_5a,roe,divida_total,ebitda,divida_ebitda,perfil_acao,lpa,vpa,margem_seguranca_percent,sentimento_gauge,strong_buy,buy,hold,sell,strong_sell,rsi_14_1y,macd_diff_1y,volume_1y
VBBR3,Vibra Energia S.A.,"Petróleo, Gás e Biocombustíveis",stock,26447853568,https://icons.brapi.dev/icons/VBBR3.svg,23.76,4.733068,1.2684853,26.200000000000003,53.60593920922385,29.847,25696000000.0,9489999872.0,2.7076923442133425,Mid Cap,5.02,18.731,93.59,78.33333333333333,5,7,3,0,0,53.85710897085858,-0.1258291044377875,23368800.0
VAMO3,"Vamos Locação de Caminhões, Máquinas e Equipamentos S.A.",Serviços Financeiros Diversos,stock,4051127552,https://icons.brapi.dev/icons/VAMO3.svg,3.8,7.4509807,1.5554645,52.370000000000005,-46.81027616725616,14.401,16702650368.0,3456861952.0,4.831737743630903,Small Cap,0.51,2.443,39.33,75.0,5,4,3,1,0,41.4073696194604,-0.025345187059605753,20893200.0
BRAV3,Brava Energia S.A.,"Petróleo, Gás e Biocombustíveis",stock,8615056384,https://icons.brapi.dev/icons/BRAV3.svg,18.56,4.845953,0.7032434,,-11.619050162179134,18.078,20767619072.0,3530717952.0,5.881981895562073,Small Cap,3.83,26.392,156.95,75.0,3,5,1,1,0,44.30715115480182,-0.014010625817383604,20221100.0
COGN3,Cogna Educação S.A.,Educação,stock,5732780544,https://icons.brapi.dev/icons/COGN3.svg,3.16,5.448276,0.45618594,11.5,-41.62605727340417,9.246001,6472005120.0,1817430016.0,3.561075289294661,Small Cap,0.58,6.927,200.88,62.5,1,4,7,0,0,63.01605594797597,0.014846808041137922,18210100.0
MGLU3,Magazine Luiza S.A.,Comércio Varejista,stock,8194805248,https://icons.brapi.dev/icons/MGLU3.svg,11.11,21.365385,0.7391391,58.24,-94.47251823559363,3.496,9726083072.0,1756504064.0,5.537182219693401,Small Cap,0.52,15.031,19.36,45.0,1,1,9,2,2,77.79872588823763,0.25533305167046794,16826000.0
BBDC3,Banco Bradesco S.A.,Bancos,stock,173654245376,https://icons.brapi.dev/icons/BBDC3.svg,15.13,8.134409,0.91942155,46.44,34.958318900309024,12.3459995,747837849600.0,,,Blue Chip,1.86,16.456,73.45,50.0,0,0,0,0,0,67.83645908488947,0.0488575073858592,16142300.0
ELET3,Centrais Elétricas Brasileiras S.A. - Eletrobrás,Energia Elétrica,stock,114483642368,https://icons.brapi.dev/icons/ELET3.svg,50.55,17.491348,0.9577854,29.860002,88.08174104407146,5.6900002,74996277248.0,14432063488.0,5.19650411116595,Blue Chip,2.89,52.778,15.89,85.41666666666667,5,7,0,0,0,86.5678134839561,0.3124848176038135,15974100.0
LREN3,Lojas Renner S.A.,Comércio Varejista,stock,16776969216,https://icons.brapi.dev/icons/LREN3.svg,16.92,12.916031,1.6435163,54.52,-41.638267446704425,13.270001,3101498112.0,2111467008.0,1.468883056305846,Mid Cap,1.31,10.295,2.95,71.66666666666667,4,5,6,0,0,57.33772504543383,0.16919974069021437,15882500.0
PETR3,Petróleo Brasileiro S.A. - Petrobras,"Petróleo, Gás e Biocombustíveis",stock,419822698496,https://icons.brapi.dev/icons/PETR3.svg,33.68,5.929578,5.933756,65.419996,419.5572264067059,18.483,68064002048.0,33190748160.0,2.0506920097097323,Blue Chip,5.68,5.676,-20.03,75.0,2,4,2,0,0,50.40666934002191,0.053840968972989234,15727600.0
ASAI3,Sendas Distribuidora S.A.,Comércio Varejista,stock,13611320320,https://icons.brapi.dev/icons/ASAI3.svg,10.12,14.882353,2.4350336,15.76,-26.351100511391067,17.687,26414999552.0,5128999936.0,5.150126707273954,Mid Cap,0.68,4.156,-21.2,73.33333333333334,3,8,4,0,0,49.86246480684968,0.008813811536402046,15489100.0
