ano,ticket,dividendo
2022,PRNR3,0.29633499999999996
2022,PSSA3,1.121405
2022,RBIF11,4.359999999999999
2022,RDNI3,0.05717
2022,REDE3,0.52214
2022,RENT3,1.308586
2022,SANB11,2.241702
2022,SANB3,1.0674759999999999
2022,SANB4,1.1742240000000002
2022,SAPR11,1.1020940000000001
2022,SAPR3,0.204091
2022,SAPR4,0.224501
2022,SBSP3,0.9427
2022,SCAR3,0.143764
2022,SNCI11,10.823063
2022,SOND5,6.6337600000000005
2022,SOND6,6.6337600000000005
2022,SYNE3,0.524093
2022,TAEE11,4.296772
2022,TAEE3,1.432258
2022,TAEE4,0.942396
2022,TIMS3,49.788364
2022,VAMO3,0.258962
2022,VIVT3,0.406686
2022,WIZC3,0.587949
2023,ABCB4,1.192481
2023,AGRO3,3.212353
2023,ALOS3,0.519014
2023,ALUP11,1.664202
2023,ALUP3,0.554733
2023,ALUP4,0.554733
2023,ARML3,0.170819
2023,AURE3,3.0
2023,B3SA3,0.382003
2023,BAZA3,5.55926
2023,BBAS3,1.492973
2023,BBDC3,1.36368
2023,BBDC4,1.2048999999999999
2023,BBSE3,3.486214
2023,BEES3,0.632523
2023,BEES4,0.632523
2023,BGIP4,3.694573
2023,BMEB3,1.479664
2023,BMEB4,1.627628
2023,BMIN3,1.420175
2023,BPAC11,0.780036
2023,BPAC3,0.260012
2023,BPAC5,0.260012
2023,BPAN4,0.215123
2023,BRAP3,2.747205
2023,BRAP4,3.0219259999999997
2023,BRBI11,1.02
2023,BRSR3,0.917263
2023,BRSR6,0.917263
2023,BSLI3,0.13686600000000002
2023,CEBR3,2.651654
2023,CEBR5,2.651654
2023,CEBR6,2.916819
2023,CEEB3,4.5631639999999996
2023,CGAS5,3.470954
2023,CLSC4,6.890038
2023,CMIG3,0.992866
2023,CMIG4,0.992866
2023,COCE5,0.307952
2023,CPFE3,2.885587
2023,CPLE3,0.304025
2023,CPLE5,0.41222
2023,CPLE6,0.334427
2023,CSAN3,0.42858
2023,CSMG3,2.893013
2023,CURY3,1.1326850000000002
2023,CXSE3,1.0103689999999999
2023,CYRE3,0.8446990000000001
2023,DESK3,0.019782
2023,DIRR3,0.47
2023,EGIE3,2.9014320000000002
2023,EKTR4,4.020073
2023,ELET3,0.220929
2023,ELET6,1.493652
2023,EMAE4,3.287331
2023,ENGI11,1.5
2023,ENGI3,0.288536
2023,ENGI4,0.30000000000000004
2023,ENMT3,3.549643
2023,ENMT4,3.549643
2023,EQPA3,0.125075
2023,EQTL3,0.347628
2023,EVEN3,0.503485
2023,EZTC3,0.20489400000000002
2023,FIQE3,0.15481699999999998
2023,GEPA3,3.0368079999999997
2023,GEPA4,3.0368079999999997
2023,IGTI11,0.36603300000000005
2023,IGTI3,0.052291000000000004
2023,IRIM11,11.385198
2023,ISAE3,2.204083
2023,ISAE4,2.204083
2023,ITSA3,0.531406
2023,ITSA4,0.531577
2023,ITUB3,1.142395
2023,ITUB4,1.142395
2023,JHSF3,0.451136
2023,LAND3,1.354462
2023,LAVV3,0.660253
2023,LOGG3,0.917768
2023,MELK3,0.560557
2023,MILS3,0.298095
2023,MOAR3,14.692414
2023,MOVI3,0.120779
2023,MTRE3,0.759142
2023,MULT3,0.996308
2023,NEOE3,1.157102
2023,PINE3,0.161432
2023,PINE4,0.16209
2023,PLPL3,0.160141
2023,PSSA3,1.370212
2023,RBIF11,10.18
2023,RDNI3,0.144192
2023,REDE3,0.711274
2023,RENT3,1.502569
2023,SANB11,1.667602
2023,SANB3,0.794096
2023,SANB4,0.873506
2023,SAPR11,1.833332
2023,SAPR3,0.339505
2023,SAPR4,0.373456
2023,SBSP3,1.276
2023,SNCI11,12.35
2023,SOND5,6.094705
2023,SOND6,6.094705
2023,TAEE11,2.9145079999999997
2023,TAEE3,0.9715020000000001
2023,TAEE4,0.9715020000000001
2023,TIMS3,100.177636
2023,VAMO3,0.33635099999999996
2023,VIVT3,1.544711
2023,WIZC3,0.445192
2024,ABCB4,2.386
2024,AGRO3,1.555983
2024,ALOS3,1.527421
2024,ALUP11,1.355769
2024,ALUP3,0.451923
2024,ALUP4,0.451923
2024,ARML3,0.31789
2024,AURE3,0.4
2024,B3SA3,0.40162
2024,BAZA3,6.625162
2024,BBAS3,2.188257
2024,BBDC3,0.745712
2024,BBDC4,0.820283
2024,BBSE3,2.6521980000000003
2024,BEES3,0.685943
2024,BEES4,0.685943
2024,BGIP4,2.366435
2024,BMEB3,2.0015530000000004
2024,BMEB4,2.201707
2024,BMGB4,0.284856
2024,BMIN3,1.272725
2024,BPAC11,0.858204
2024,BPAC3,0.286068
2024,BPAC5,0.286068
2024,BPAN4,0.24149
2024,BRAP3,1.748656
2024,BRAP4,1.4768020000000002
2024,BRBI11,1.05
2024,BRSR3,0.9949300000000001
2024,BRSR6,0.9949300000000001
2024,BSLI3,0.077934
2024,BSLI4,0.026783703
2024,CEBR3,1.561471
2024,CEBR5,1.561471
2024,CEBR6,1.7176179999999999
2024,CEEB3,3.1712059999999997
2024,CGAS5,22.177964
2024,CLSC4,6.498302000000001
2024,CMIG3,1.328833
2024,CMIG4,1.384902
2024,COCE5,0.988254
2024,CPLE3,0.385905
2024,CPLE5,0.524723
2024,CPLE6,0.424496
2024,CSAN3,0.451477
2024,CSMG3,2.3169440000000003
2024,CURY3,1.668033
2024,CXSE3,1.0803390000000002
2024,CYRE3,0.596783
2024,DESK3,0.042149
